,,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits,
21B21A4506,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4507,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4507,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21B21A4507,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,F,0,
21B21A4507,R2031421,COMPILER DESIGN,21,D,3,
21B21A4507,R2031422,OPERATING SYSTEMS,18,E,3,
21B21A4507,R2031423,MACHINE LEARNING,23,D,3,
21B21A4507,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,14,A,1.5,
21B21A4507,R2031425,MACHINE LEARNING LAB,13,A,1.5,
21B21A4507,R203142A,SOFTWARE ENGINEERING,23,C,3,
21B21A4507,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4508,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4508,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4508,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,C,3,
21B21A4508,R2031421,COMPILER DESIGN,20,E,3,
21B21A4508,R2031422,OPERATING SYSTEMS,22,D,3,
21B21A4508,R2031423,MACHINE LEARNING,22,D,3,
21B21A4508,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4508,R2031425,MACHINE LEARNING LAB,12,A,1.5,
21B21A4508,R203142A,SOFTWARE ENGINEERING,20,E,3,
21B21A4508,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4509,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4509,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21B21A4509,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,C,3,
21B21A4509,R2031421,COMPILER DESIGN,22,D,3,
21B21A4509,R2031422,OPERATING SYSTEMS,21,B,3,
21B21A4509,R2031423,MACHINE LEARNING,23,B,3,
21B21A4509,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,14,A,1.5,
21B21A4509,R2031425,MACHINE LEARNING LAB,15,A+,1.5,
21B21A4509,R203142A,SOFTWARE ENGINEERING,20,D,3,
21B21A4509,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21B21A4510,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4510,R2031058,EMPLOYABILITY SKILLS-I,29,COMPLE,0,
21B21A4510,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,E,3,
21B21A4510,R2031421,COMPILER DESIGN,24,E,3,
21B21A4510,R2031422,OPERATING SYSTEMS,20,E,3,
21B21A4510,R2031423,MACHINE LEARNING,23,B,3,
21B21A4510,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,14,A,1.5,
21B21A4510,R2031425,MACHINE LEARNING LAB,13,A,1.5,
21B21A4510,R203142A,SOFTWARE ENGINEERING,23,F,0,
21B21A4510,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4511,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,B,2,
21B21A4511,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4511,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,23,D,3,
21B21A4511,R2031421,COMPILER DESIGN,24,C,3,
21B21A4511,R2031422,OPERATING SYSTEMS,23,D,3,
21B21A4511,R2031423,MACHINE LEARNING,26,B,3,
21B21A4511,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4511,R2031425,MACHINE LEARNING LAB,15,A,1.5,
21B21A4511,R203142A,SOFTWARE ENGINEERING,27,C,3,
21B21A4511,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4512,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4512,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21B21A4512,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,A,3,
21B21A4512,R2031421,COMPILER DESIGN,24,B,3,
21B21A4512,R2031422,OPERATING SYSTEMS,24,C,3,
21B21A4512,R2031423,MACHINE LEARNING,25,B,3,
21B21A4512,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4512,R2031425,MACHINE LEARNING LAB,15,A+,1.5,
21B21A4512,R203142A,SOFTWARE ENGINEERING,25,C,3,
21B21A4512,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4513,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4513,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21B21A4513,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,F,0,
21B21A4513,R2031421,COMPILER DESIGN,22,C,3,
21B21A4513,R2031422,OPERATING SYSTEMS,23,D,3,
21B21A4513,R2031423,MACHINE LEARNING,22,C,3,
21B21A4513,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4513,R2031425,MACHINE LEARNING LAB,13,A,1.5,
21B21A4513,R203142A,SOFTWARE ENGINEERING,23,D,3,
21B21A4513,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4514,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,B,2,
21B21A4514,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21B21A4514,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,B,3,
21B21A4514,R2031421,COMPILER DESIGN,23,C,3,
21B21A4514,R2031422,OPERATING SYSTEMS,22,C,3,
21B21A4514,R2031423,MACHINE LEARNING,21,A,3,
21B21A4514,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,12,A,1.5,
21B21A4514,R2031425,MACHINE LEARNING LAB,11,A,1.5,
21B21A4514,R203142A,SOFTWARE ENGINEERING,23,C,3,
21B21A4514,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4515,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,B,2,
21B21A4515,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4515,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,C,3,
21B21A4515,R2031421,COMPILER DESIGN,23,C,3,
21B21A4515,R2031422,OPERATING SYSTEMS,22,D,3,
21B21A4515,R2031423,MACHINE LEARNING,22,B,3,
21B21A4515,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,14,A,1.5,
21B21A4515,R2031425,MACHINE LEARNING LAB,13,A,1.5,
21B21A4515,R203142A,SOFTWARE ENGINEERING,24,C,3,
21B21A4515,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4517,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4517,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21B21A4517,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,23,B,3,
21B21A4517,R2031421,COMPILER DESIGN,25,C,3,
21B21A4517,R2031422,OPERATING SYSTEMS,24,D,3,
21B21A4517,R2031423,MACHINE LEARNING,24,B,3,
21B21A4517,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4517,R2031425,MACHINE LEARNING LAB,13,A+,1.5,
21B21A4517,R203142A,SOFTWARE ENGINEERING,25,D,3,
21B21A4517,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4518,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4518,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4518,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,C,3,
21B21A4518,R2031421,COMPILER DESIGN,22,D,3,
21B21A4518,R2031422,OPERATING SYSTEMS,21,C,3,
21B21A4518,R2031423,MACHINE LEARNING,25,C,3,
21B21A4518,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,12,A,1.5,
21B21A4518,R2031425,MACHINE LEARNING LAB,13,A,1.5,
21B21A4518,R203142A,SOFTWARE ENGINEERING,22,D,3,
21B21A4518,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4519,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4519,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4519,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,D,3,
21B21A4519,R2031421,COMPILER DESIGN,22,D,3,
21B21A4519,R2031422,OPERATING SYSTEMS,22,C,3,
21B21A4519,R2031423,MACHINE LEARNING,21,D,3,
21B21A4519,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,14,A,1.5,
21B21A4519,R2031425,MACHINE LEARNING LAB,13,A,1.5,
21B21A4519,R203142A,SOFTWARE ENGINEERING,22,D,3,
21B21A4519,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21B21A4520,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4520,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21B21A4520,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,B,3,
21B21A4520,R2031421,COMPILER DESIGN,25,C,3,
21B21A4520,R2031422,OPERATING SYSTEMS,23,C,3,
21B21A4520,R2031423,MACHINE LEARNING,23,B,3,
21B21A4520,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4520,R2031425,MACHINE LEARNING LAB,14,A+,1.5,
21B21A4520,R203142A,SOFTWARE ENGINEERING,24,C,3,
21B21A4520,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4521,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4521,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4521,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,23,A+,3,
21B21A4521,R2031421,COMPILER DESIGN,22,D,3,
21B21A4521,R2031422,OPERATING SYSTEMS,24,B,3,
21B21A4521,R2031423,MACHINE LEARNING,22,A,3,
21B21A4521,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4521,R2031425,MACHINE LEARNING LAB,15,A+,1.5,
21B21A4521,R203142A,SOFTWARE ENGINEERING,22,D,3,
21B21A4521,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4522,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4522,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21B21A4522,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,B,3,
21B21A4522,R2031421,COMPILER DESIGN,23,C,3,
21B21A4522,R2031422,OPERATING SYSTEMS,23,C,3,
21B21A4522,R2031423,MACHINE LEARNING,26,B,3,
21B21A4522,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4522,R2031425,MACHINE LEARNING LAB,15,A+,1.5,
21B21A4522,R203142A,SOFTWARE ENGINEERING,23,D,3,
21B21A4522,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4523,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,B,2,
21B21A4523,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21B21A4523,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,C,3,
21B21A4523,R2031421,COMPILER DESIGN,24,D,3,
21B21A4523,R2031422,OPERATING SYSTEMS,24,C,3,
21B21A4523,R2031423,MACHINE LEARNING,21,B,3,
21B21A4523,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,13,A,1.5,
21B21A4523,R2031425,MACHINE LEARNING LAB,11,B,1.5,
21B21A4523,R203142A,SOFTWARE ENGINEERING,23,D,3,
21B21A4523,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21B21A4524,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4524,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4524,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,D,3,
21B21A4524,R2031421,COMPILER DESIGN,23,C,3,
21B21A4524,R2031422,OPERATING SYSTEMS,23,D,3,
21B21A4524,R2031423,MACHINE LEARNING,20,D,3,
21B21A4524,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,12,A,1.5,
21B21A4524,R2031425,MACHINE LEARNING LAB,11,A,1.5,
21B21A4524,R203142A,SOFTWARE ENGINEERING,20,C,3,
21B21A4524,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4525,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4525,R2031058,EMPLOYABILITY SKILLS-I,29,COMPLE,0,
21B21A4525,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,D,3,
21B21A4525,R2031421,COMPILER DESIGN,20,E,3,
21B21A4525,R2031422,OPERATING SYSTEMS,21,F,0,
21B21A4525,R2031423,MACHINE LEARNING,22,D,3,
21B21A4525,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4525,R2031425,MACHINE LEARNING LAB,13,A,1.5,
21B21A4525,R203142A,SOFTWARE ENGINEERING,23,D,3,
21B21A4525,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4526,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4526,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4526,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,B,3,
21B21A4526,R2031421,COMPILER DESIGN,23,D,3,
21B21A4526,R2031422,OPERATING SYSTEMS,22,A,3,
21B21A4526,R2031423,MACHINE LEARNING,21,B,3,
21B21A4526,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4526,R2031425,MACHINE LEARNING LAB,15,A+,1.5,
21B21A4526,R203142A,SOFTWARE ENGINEERING,22,C,3,
21B21A4526,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4527,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4527,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21B21A4527,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,D,3,
21B21A4527,R2031421,COMPILER DESIGN,23,E,3,
21B21A4527,R2031422,OPERATING SYSTEMS,17,E,3,
21B21A4527,R2031423,MACHINE LEARNING,19,D,3,
21B21A4527,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,12,A,1.5,
21B21A4527,R2031425,MACHINE LEARNING LAB,12,A,1.5,
21B21A4527,R203142A,SOFTWARE ENGINEERING,20,F,0,
21B21A4527,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
21B21A4528,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4528,R2031058,EMPLOYABILITY SKILLS-I,29,COMPLE,0,
21B21A4528,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,23,C,3,
21B21A4528,R2031421,COMPILER DESIGN,24,B,3,
21B21A4528,R2031422,OPERATING SYSTEMS,26,C,3,
21B21A4528,R2031423,MACHINE LEARNING,26,C,3,
21B21A4528,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,13,A+,1.5,
21B21A4528,R2031425,MACHINE LEARNING LAB,14,A+,1.5,
21B21A4528,R203142A,SOFTWARE ENGINEERING,23,C,3,
21B21A4528,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4529,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4529,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4529,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,24,A+,3,
21B21A4529,R2031421,COMPILER DESIGN,24,C,3,
21B21A4529,R2031422,OPERATING SYSTEMS,24,D,3,
21B21A4529,R2031423,MACHINE LEARNING,24,D,3,
21B21A4529,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4529,R2031425,MACHINE LEARNING LAB,15,A+,1.5,
21B21A4529,R203142A,SOFTWARE ENGINEERING,27,C,3,
21B21A4529,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4530,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4530,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21B21A4530,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,D,3,
21B21A4530,R2031421,COMPILER DESIGN,22,E,3,
21B21A4530,R2031422,OPERATING SYSTEMS,21,C,3,
21B21A4530,R2031423,MACHINE LEARNING,22,C,3,
21B21A4530,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,14,A+,1.5,
21B21A4530,R2031425,MACHINE LEARNING LAB,14,A+,1.5,
21B21A4530,R203142A,SOFTWARE ENGINEERING,25,D,3,
21B21A4530,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4531,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4531,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4531,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,B,3,
21B21A4531,R2031421,COMPILER DESIGN,23,C,3,
21B21A4531,R2031422,OPERATING SYSTEMS,24,C,3,
21B21A4531,R2031423,MACHINE LEARNING,22,C,3,
21B21A4531,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4531,R2031425,MACHINE LEARNING LAB,14,A+,1.5,
21B21A4531,R203142A,SOFTWARE ENGINEERING,23,C,3,
21B21A4531,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4532,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4532,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4532,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,24,D,3,
21B21A4532,R2031421,COMPILER DESIGN,25,C,3,
21B21A4532,R2031422,OPERATING SYSTEMS,23,C,3,
21B21A4532,R2031423,MACHINE LEARNING,22,B,3,
21B21A4532,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4532,R2031425,MACHINE LEARNING LAB,14,A+,1.5,
21B21A4532,R203142A,SOFTWARE ENGINEERING,23,C,3,
21B21A4532,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4533,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4533,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21B21A4533,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,A,3,
21B21A4533,R2031421,COMPILER DESIGN,20,E,3,
21B21A4533,R2031422,OPERATING SYSTEMS,23,D,3,
21B21A4533,R2031423,MACHINE LEARNING,26,B,3,
21B21A4533,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4533,R2031425,MACHINE LEARNING LAB,13,A+,1.5,
21B21A4533,R203142A,SOFTWARE ENGINEERING,23,C,3,
21B21A4533,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4534,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4534,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4534,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
21B21A4534,R2031421,COMPILER DESIGN,21,E,3,
21B21A4534,R2031422,OPERATING SYSTEMS,23,F,0,
21B21A4534,R2031423,MACHINE LEARNING,20,D,3,
21B21A4534,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,13,A+,1.5,
21B21A4534,R2031425,MACHINE LEARNING LAB,13,A,1.5,
21B21A4534,R203142A,SOFTWARE ENGINEERING,24,F,0,
21B21A4534,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4535,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4535,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4535,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,22,C,3,
21B21A4535,R2031421,COMPILER DESIGN,21,D,3,
21B21A4535,R2031422,OPERATING SYSTEMS,21,C,3,
21B21A4535,R2031423,MACHINE LEARNING,24,B,3,
21B21A4535,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,14,A+,1.5,
21B21A4535,R2031425,MACHINE LEARNING LAB,14,A,1.5,
21B21A4535,R203142A,SOFTWARE ENGINEERING,23,D,3,
21B21A4535,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4536,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4536,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21B21A4536,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,D,3,
21B21A4536,R2031421,COMPILER DESIGN,21,D,3,
21B21A4536,R2031422,OPERATING SYSTEMS,21,D,3,
21B21A4536,R2031423,MACHINE LEARNING,22,C,3,
21B21A4536,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4536,R2031425,MACHINE LEARNING LAB,13,A+,1.5,
21B21A4536,R203142A,SOFTWARE ENGINEERING,22,C,3,
21B21A4536,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4537,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4537,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4537,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,23,A,3,
21B21A4537,R2031421,COMPILER DESIGN,24,D,3,
21B21A4537,R2031422,OPERATING SYSTEMS,22,D,3,
21B21A4537,R2031423,MACHINE LEARNING,23,B,3,
21B21A4537,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4537,R2031425,MACHINE LEARNING LAB,15,A+,1.5,
21B21A4537,R203142A,SOFTWARE ENGINEERING,27,C,3,
21B21A4537,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4538,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,B,2,
21B21A4538,R2031058,EMPLOYABILITY SKILLS-I,27,COMPLE,0,
21B21A4538,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,F,0,
21B21A4538,R2031421,COMPILER DESIGN,22,E,3,
21B21A4538,R2031422,OPERATING SYSTEMS,22,D,3,
21B21A4538,R2031423,MACHINE LEARNING,22,C,3,
21B21A4538,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,11,B,1.5,
21B21A4538,R2031425,MACHINE LEARNING LAB,10,A,1.5,
21B21A4538,R203142A,SOFTWARE ENGINEERING,22,D,3,
21B21A4538,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4539,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4539,R2031058,EMPLOYABILITY SKILLS-I,29,COMPLE,0,
21B21A4539,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,D,3,
21B21A4539,R2031421,COMPILER DESIGN,23,D,3,
21B21A4539,R2031422,OPERATING SYSTEMS,18,D,3,
21B21A4539,R2031423,MACHINE LEARNING,21,C,3,
21B21A4539,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,11,A,1.5,
21B21A4539,R2031425,MACHINE LEARNING LAB,10,A,1.5,
21B21A4539,R203142A,SOFTWARE ENGINEERING,25,C,3,
21B21A4539,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4540,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4540,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4540,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,D,3,
21B21A4540,R2031421,COMPILER DESIGN,19,F,0,
21B21A4540,R2031422,OPERATING SYSTEMS,22,D,3,
21B21A4540,R2031423,MACHINE LEARNING,21,D,3,
21B21A4540,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,15,A+,1.5,
21B21A4540,R2031425,MACHINE LEARNING LAB,12,A+,1.5,
21B21A4540,R203142A,SOFTWARE ENGINEERING,21,D,3,
21B21A4540,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4541,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4541,R2031058,EMPLOYABILITY SKILLS-I,26,COMPLE,0,
21B21A4541,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,D,3,
21B21A4541,R2031421,COMPILER DESIGN,19,D,3,
21B21A4541,R2031422,OPERATING SYSTEMS,21,D,3,
21B21A4541,R2031423,MACHINE LEARNING,20,C,3,
21B21A4541,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,11,A,1.5,
21B21A4541,R2031425,MACHINE LEARNING LAB,12,A,1.5,
21B21A4541,R203142A,SOFTWARE ENGINEERING,23,D,3,
21B21A4541,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4542,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A,2,
21B21A4542,R2031058,EMPLOYABILITY SKILLS-I,28,COMPLE,0,
21B21A4542,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,D,3,
21B21A4542,R2031421,COMPILER DESIGN,22,D,3,
21B21A4542,R2031422,OPERATING SYSTEMS,22,C,3,
21B21A4542,R2031423,MACHINE LEARNING,21,C,3,
21B21A4542,R2031424,OPERATING SYSTEMS & COMPILER DESIGN LAB,10,A,1.5,
21B21A4542,R2031425,MACHINE LEARNING LAB,10,A,1.5,
21B21A4542,R203142A,SOFTWARE ENGINEERING,22,D,3,
21B21A4542,R2031451,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A,1.5,
21B21A4543,R2031057,CONTINUOUS INTEGRATION AND CONTINUOUS DE,0,A+,2,
21B21A4543,R2031058,EMPLOYABILITY SKILLS-I,29,COMPLE,0,
