,,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits,
20B21A4410,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,F,0,
20B21A4434,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,F,0,
20B21A4434,R2031423,MACHINE LEARNING,18,F,0,
20B21A4434,R203142A,SOFTWARE ENGINEERING,18,F,0,
20B21A4440,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,21,F,0,
20B21A4442,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,25,D,3,
20B21A4447,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,F,0,
20B21A4447,R2031422,OPERATING SYSTEMS,15,F,0,
20B21A4447,R2031423,MACHINE LEARNING,19,D,3,
20B21A4447,R203142A,SOFTWARE ENGINEERING,17,F,0,
20B21A4451,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,D,3,
20B21A4452,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,24,F,0,
20B21A4453,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,F,0,
20B21A4454,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,F,0,
20B21A4454,R2031422,OPERATING SYSTEMS,15,F,0,
20B21A4454,R2031423,MACHINE LEARNING,17,F,0,
20B21A4454,R203142A,SOFTWARE ENGINEERING,20,F,0,
20B21A4458,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,F,0,
20B21A4459,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,F,0,
20B21A4459,R2031423,MACHINE LEARNING,19,E,3,
20B21A4465,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,E,3,
20B21A4466,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,17,F,0,
20B21A4466,R203142A,SOFTWARE ENGINEERING,18,D,3,
20B21A4467,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,F,0,
20B21A4467,R2031423,MACHINE LEARNING,20,E,3,
20B21A4468,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,F,0,
20B21A4480,R2031423,MACHINE LEARNING,20,F,0,
20B21A4482,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,E,3,
20B21A4484,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,F,0,
20B21A4484,R2031423,MACHINE LEARNING,20,E,3,
20B21A4486,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,E,3,
20B21A4486,R2031423,MACHINE LEARNING,21,E,3,
20B21A4487,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,F,0,
20B21A4487,R2031423,MACHINE LEARNING,19,F,0,
20B21A4487,R203142A,SOFTWARE ENGINEERING,20,E,3,
20B21A4488,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,19,C,3,
20B21A4489,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,15,F,0,
20B21A4489,R2031423,MACHINE LEARNING,18,E,3,
20B21A4489,R203142A,SOFTWARE ENGINEERING,15,E,3,
20B21A4494,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,F,0,
20B21A4494,R2031423,MACHINE LEARNING,17,D,3,
20B21A4495,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,18,F,0,
20B21A4495,R2031421,COMPILER DESIGN,18,D,3,
20B21A4498,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,20,D,3,
20B21A44A1,R203105E,OPTIMIZATION IN OPERATIONS RESEARCH,15,E,3,
20B21A44A1,R2031423,MACHINE LEARNING,17,E,3,
